2018-04-14 16:25:49:266 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - [创建订单]result=OrderDTO(orderId=null, buyerName=谢明辉, buyerPhone=110110111, buyerAddress=广工, buyerOpenid=110110, orderAmount=null, orderStatus=null, payStatus=null, createTime=null, updateTime=null, orderDetailList=[OrderDetail(detailId=e514adbf1f9b466b832897bdd542c461, orderId=f8c74c58450f4382826697f02cad7a82, productId=1234567, productName=皮皮虾, productPrice=3.20, productQuantity=10, productIcon=www.xxx.icon), OrderDetail(detailId=ee74d0d7122946df952856c7f742a906, orderId=f8c74c58450f4382826697f02cad7a82, productId=1234567, productName=皮皮虾, productPrice=3.20, productQuantity=10, productIcon=www.xxx.icon)])
2018-04-14 17:03:51:481 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5898 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 17:03:51:483 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 17:03:59:015 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.12 seconds (JVM running for 10.912)
2018-04-14 17:03:59:443 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - [查询单个订单]result=OrderDTO(orderId=96d02783bbc448d98b85a21e650af133, buyerName=谢明辉, buyerPhone=110110111, buyerAddress=广工, buyerOpenid=110110, orderAmount=19.80, orderStatus=0, payStatus=1, createTime=2018-04-14 07:17:13.0, updateTime=2018-04-14 07:17:13.0, orderDetailList=[OrderDetail(detailId=377d96ca0c154d5ea85ed163239eca33, orderId=96d02783bbc448d98b85a21e650af133, productId=123456, productName=皮蛋粥, productPrice=3.20, productQuantity=2, productIcon=www.xxx.icon), OrderDetail(detailId=5e403e42523b4b09afc285c1790e37a9, orderId=96d02783bbc448d98b85a21e650af133, productId=123456, productName=皮蛋粥, productPrice=3.20, productQuantity=2, productIcon=www.xxx.icon), OrderDetail(detailId=d90c0ca2d0f04b69aadfa71ae92c37b0, orderId=96d02783bbc448d98b85a21e650af133, productId=123453, productName=芒果冰, productPrice=7.00, productQuantity=1, productIcon=www.baidu.com)])
2018-04-14 17:06:30:241 [main] INFO   com.xmh.sell.SellApplication - Starting SellApplication on xieminghuideMBP.lan with PID 5900 (/Users/xieminghui/Downloads/sell/target/classes started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 17:06:30:247 [main] INFO   com.xmh.sell.SellApplication - No active profile set, falling back to default profiles: default
2018-04-14 17:06:35:022 [main] INFO   com.xmh.sell.SellApplication - Started SellApplication in 5.575 seconds (JVM running for 6.669)
2018-04-14 22:08:08:379 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6045 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:08:08:381 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
